S No,Media Site Id,City,Zone,Locality,Pin Code,Office Building Name,No of Employees (Approx),No of Screens,No of impressions per month,Screen Size,"Latitude,Longitude",Facility Type,Tenant Details
220,MS5WJ2MR,Bengaluru,Hobli,Varthur,560037,Awfis - Soul Space Paradigm,500,2,25200,32 inch LED TV,"12.95128,77.69924",Coworking space,"Cybergyan Software Training, , Colossal Developers Pvt.Ltd, "
221,MSRKZM91,Bengaluru,HSR Layout,Agrahara Village,560102,Urban Vault- 1608,250,2,25200,32 inch LED TV,"12.919645,77.643517",Coworking space,"SNAP2INSIGHT, SUPERFONE, Unity,"
222,MSXD201K,Bengaluru,HSR Layout,HSR Layout,560102,Urban Vault- 1498,700,1,12600,32 inch LED TV,"12.91840384,77.64502874",Coworking space,"Powerplay, Bambrew"
223,MS4JC8XY,Bengaluru,HSR Layout,HSR Layout,560102,Urban Vault- 145,300,2,25200,32 inch LED TV,"12.9147163,77.63217376",Coworking space,"Blissclub(GROUND, 1st and 2nd FLOOR),  Triomics(3rd FLOOR), Growthschool(4th FLOOR)"
224,MS5EV8Z5,Bengaluru,HSR Layout,18th Cross Rd,560102,Urban Vault- 1086,400,1,12600,32 inch LED TV,"12.911829,77.636394",Coworking space,"Merkle Science,, Miebach,),  Jungle, Bluestone"
225,MS081KJX,Bengaluru,HSR Layout,HSR Layout,560102,Startuphuts- Unit 7,700,2,25200,32 inch LED TV,"12.91287469,77.65215147",Coworking space,"Classklap, , Yourdost, SL4Technology India Pvt.Ltd, ada, "
226,MSKH843Q,Bengaluru,Rama Nagar,Mission RD,560027,Awfis - Mission Road,1000,4,50400,32 inch LED TV,"12.962632,77.590556",Coworking space,"Navanc,, ncube,databytes,, Ewol Now Private Limited,, aster, , Itssa, "
227,MSWNHPFV,Bengaluru,Indiranagar,HAL 3rd Stage,560038,Bridge - Landmark,500,1,12600,32 inch LED TV,"12.9788191,77.6470612",Coworking space,
228,MS83X1M1,Bengaluru,HSR Layout,HSR Layout,560102,Urban Vault- 1090/A,250,2,25200,32 inch LED TV,"12.911818,77.639346",Coworking space," Mispras Furnishing Pvt.Ltd, , acceldata"
229,MSJKHWKF,Bengaluru,Koramangala,80 Feet Rd,560034,Urban Vault- 22,100,1,12600,32 inch LED TV,"12.93240838,77.63196741",Coworking space,"Terrific Minds,, Bar Code,, Cred BLE, IT Trailblazer Resources Pvt.Ltd"
230,MSPZGKA7,Bengaluru,Koramangala,80 Feet Rd,560034,Obeya - Elan,700,1,12600,32 inch LED TV,"12.933671,77.627933",Coworking space," Paxcom india Pvt Ltd, Leadership boulevard pvt ltd, Onsite electro services pvt ltd, Onsite electro services pvt ltd, ABSYZ software consulting pvt ltd"
231,MSMXGSSB,Bengaluru,HSR Layout,HSR Layout,560102,Urban Vault- 1781,1500,2,25200,32 inch LED TV,"12.915044,77.642689",Coworking space,"Questt, ETHOS,, frnd,  Rummy verse, Electric Pe,  Intervue"
232,MSJX9ET1,Bengaluru,Residency Road,Ashok Nagar,560025,Awfis - Residency Road,2000,2,25200,32 inch LED TV,"12.972040176391602,77.60591125488281",Coworking space,"Msh, , We sure, Sodexo,, Cubic logic,, EF informstion systems,, Kontoor,, Acalvio technlogies,"
233,MSPCD0VH,Bengaluru,Electronic City,HSR Layout,560102,Ecradle Coworking Space,500,3,37800,32 inch LED TV,"12.909866333007812,77.63263702392578",Coworking space,"Knowic Infotech pvt ltd, Motorola service centre, span workz, VE10xSOFT india pvt ltd, IM solutions, Charzera tech pvt ltd,, Deevia Software India , Realty Focus, DSYNCULTR, Nodesec, audiocodes"
234,MSX43XNC,Bengaluru,Koramangala,Adugodi,560029,Awfis - Prestige Blue Chip,700,1,12600,32 inch LED TV,"12.93739,77.60545",Coworking space," Collabera, , Raja Group,, ICON, , Barracuda, , Smartstream,,  QuadGen Technology,,  Marlabs, , PharmEasy,,  Synopsys, ,  VI, , Ascendion,"
235,MS6ZTF3N,Bengaluru,HSR Layout,HSR Layout,560102,Obeya - Roses,500,1,12600,32 inch LED TV,"12.912737,77.63404",Coworking space,"Acuvea Analytics Private Limited,  Gamut Analytics Private Limited"
236,MS84VQZG,Bengaluru,Indiranagar,Shri Krishna Temple Rd,560038,Bhive Workspace - Indiranagar,1061,6,75600,32 inch LED TV,"12.97891902923584,77.64048767089844",Coworking space,"Energetic AI Pvt.Ltd, FIRMSAP Rentals LLP, NR Developers and Promoters, Chutney Retails Services Pvt.Ltd, Augsburg Innowerks Pvt.Ltd,  Manrasa Technologies Pvt.Lt, Chill Life Hospitality LLP, Dynami Technologies Pvt.Ltd,, Roling Arrays Consulting Pvt.Ltd, ETAN Transactional India Pvt.Ltd, Protecto India Pvt.Ltd,"
237,MS2V6DZ4,Bengaluru,HSR Layout,HSR Layout,560102,Obeya - Tranquil,300,1,12600,32 inch LED TV,"12.910346,77.630141",Coworking space,"Kavach Financial Services Private Limited,, Konde Products & Services Pvt. Ltd, , Anarock Group Business  Services Private Limited,, Upflex- Anarock India Limited, narock Property, consultants private limited"
238,MS30REXB,Bengaluru,HSR Layout,HSR Layout,560102,Urban Vault- 97,430,2,25200,32 inch LED TV,"12.91241052,77.63967148",Coworking space,"SPOTDRAFT, DEALShare"
239,MSFWFZV8,Bengaluru,Indiranagar,Appareddipalya,560008,Bridge - Excel,500,1,12600,32 inch LED TV,"12.971048,77.63817",Coworking space,"Forth Fortuner, Swelect Pvt.Ltd."
240,MSX7XTR0,Bengaluru,MG Road,MG Road,560001,Awfis - MG Road,700,1,12600,32 inch LED TV,"12.97328,77.61407",Coworking space,"PNB,, JSW, Focuzar,, Standard chatered, "
241,MSENS40E,Bengaluru,Koramangala,Koramangala,560034,Workhome - Coworking Space,500,2,25200,32 inch LED TV,"12.935169,77.620841",Coworking space,"Slow Art, lue coffee roasters,"
242,MSK5X3FM,Bengaluru,Ashok Nagar,Shantala Nagar,560001,Awfis - ST Mark's Road,1000,5,63000,32 inch LED TV,"12.96957,77.60054",Coworking space,"Delixus Software India Ltd, Collison, , Paybooks., AdventSys Technologies Private Limited, , Alucor, , Skyland Immigration and Careers, Install 365, BoopinCommunications Pvt. ltd, "
243,MS7B34KG,Bengaluru,Indiranagar,Hoysala Nagar,560038,Urban Vault- 334,200,1,12600,32 inch LED TV,"12.97903251,77.63690181",Coworking space,"Shuhari Tech Ventures Pvt.Ltd, Texecom India Private Limited,,  Telecom"
244,MS2T22GW,Bengaluru,HSR Layout,HSR Layout,560102,Startuphuts- Unit 4,700,2,25200,32 inch LED TV,"12.91163138,77.65159438",Coworking space,"Bhanzu, Infrabeat, Srinivasa Arcade,"
245,MSWWBHTY,Bengaluru,HSR Layout,HSR Layout,560102,Urban Vault- 2908,300,2,25200,32 inch LED TV,"12.909099,77.643857",Coworking space,"G.O.A.T Brand Labs, upstox, NeuroPixoLAI, indid"
246,MSX82G45,Bengaluru,Bellandur,Bellandur,560103,Mantri Commercio,1500,18,226800,32 inch LED TV,"12.932697296142578,77.6837158203125",Corporate Office,"BlueYonder, Diligent, 2gether, Analog Devices"
247,MS566NPQ,Bengaluru,HSR Layout,HSR Layout,560102,Urban Vault- 65,450,2,25200,32 inch LED TV,"12.91307261,77.63635137",Coworking space,"Entrepreneur First., Julia Hub, Hyperverge,, prophecy, carestack"
248,MS3B7K5A,Bengaluru,HSR Layout,HSR Layout,560102,Urban Vault- 2907,250,2,25200,32 inch LED TV,"12.909051,77.643934",Coworking space,"Analytica/Grid.,, Chalo,, Swift,  Zenda,, Furrl Linkederp."
249,MSD4QEPK,Bengaluru,MG Road,Vittal Malya Road,560001,Golden Square,70,1,12600,32 inch LED TV,"12.970964,77.594816",Coworking space,"Foscher Pvt.Ltd, Neuroglee Therapeutics India Pvt.Ltd, MediaMath India Pvt.Ltd, YojakaPvt.Ltd, L7 Informatics India Pvt.Ltd, Network Advantage LLP,  Liberated Enterprise Creators LLp, Exium India Pvt.Ltd, Kyro-SAAS Technologies Pvt.Ltd, Biomartt Exports Private Limited, Techthota agritech Private Limite"
250,MSSPG93C,Bengaluru,Halasuru,Ulsoor Rd,560042,Obeya - Pulse,1000,2,25200,32 inch LED TV,"12.97488,77.617345",Coworking space,"CDDEP India Private Limited, Caste Software India Private Limited, Proptiger Marketing Service Pvt. Ltd, Performio India Private Limited, Healthcubed India Private Limited  "
251,MSB2K6YY,Bengaluru,Shivajinagar,Vasanth Nagar,560051,Maruthi Mansion,500,4,50400,32 inch LED TV,"12.986807823181152,77.59513092041016",Corporate Office,"Vasants Business Park, Page Point Services India Pvt Ltd, Website Design, Kukkr Bangalore, Canara Bank-General Branch"
252,MSQ57N3B,Bengaluru,HSR Layout,HSR Layout,560102,Obeya - Verve,500,1,12600,32 inch LED TV,"12.914367,77.630259",Coworking space,"A2M TEchnologies, PZ Medical India Pvt, Ltd, Fluidi5 Technologies Pvt.Ltd, , Daytona System Pvt.Ltd,, Fampay Solutions Pvt.Ltd, Quick Logi Technologies Idia Pvt.Ltd,  I-Roomz India Private Limited"
253,MSWNRMNW,Bengaluru,HSR Layout,Sector 6,560102,Urban Vault- 316,500,2,25200,32 inch LED TV,"12.914657,77.631109",Coworking space,"Openin App and Listed(Ground Floor), Customer Glu(1st FLOOR)"
254,MS1KM5EX,Bengaluru,Koramangala,jakkasandra,560034,Startuphuts- Unit 8,500,2,25200,32 inch LED TV,"12.925574,77.635436",Coworking space,"Cortiqa, Kritikal, Bullsmart"
255,MSTDYH7F,Bengaluru,HSR Layout,HSR Layout,560102,Startuphuts- Unit 6,500,2,25200,32 inch LED TV,"12.910282,77.649813",Coworking space,"Akira, Husys, Simplotel"
256,MSE14C1E,Bengaluru,Marathahalli,Kadubeesanahalli,560103,Nucleus - Exora Business Park,11680,5,63000,55 inch LED TV,"12.942238807678223,77.6887435913086",Corporate Office,"HM Prasanth Cpmapny Pvt Ltd, Elnath A, Juniper Networks, Juniper India Toastmakers club, Prestige Tech Park elnath block , Guidewire Software Solutions Pvt Ltd , Bosch Global Software Technologies, , Amadeus"
257,MSAD7JWX,Bengaluru,Varthur,Devarabisanahalli,560103,Awfis - Vajram Esteva,298,4,50400,32 inch LED TV,"12.930465,77.68628",Coworking space,"Truminds software systems, WayCool - Bengaluru - Corp Office,  Scalene Works, Bellandur"
258,MSXJ1N8R,Bengaluru,Richmond Town,Shanthala Nagar,560025,Awfis - Residency Square,430,6,75600,32 inch LED TV,"12.96582,77.600314",Coworking space,"Sonata Software, Info School SAS Training Centre"
259,MS7C63J4,Bengaluru,Bengaluru,Domlur ,560071,Wework - Princeville,500,3,37800,43 inch LED TV,"12.949568,77.643253",Coworking space,SmartCow AI Technologies Pvt Ltd
260,MSEN0AE7,Bengaluru,Bengaluru,Ashok Nagar,560025,WeWork - The Galaxy,2500,7,88200,43 inch LED TV,"12.963587760925293,77.5920639038086",Coworking space," vMobo Mobile Pvt. Ltd.,  LIFTR - Strength & Conditioning Gym | Residency Road,  Street View Directions Save CogBooks ,  CogBooks India,  The Scalers, IndigoEdge,  Wildhub Designs pvt ltd, RDB Associates, Mindset Consulting"
261,MSGT1JT2,Bengaluru,Bengaluru,Challaghatta,560071,WeWork - EGL,2500,4,50400,43 inch LED TV,"12.951312065124512,77.63729858398438",Coworking space," Techstars, Kyron Management Services Pvt Ltd,  Precisely software and data India Pvt Ltd,  Squarepoint Technologies India Pvt Ltd,  Leviton,  Atlassian India"
262,MST33NPD,Bengaluru,Bengaluru,Koramangala,560034,WeWork - Prestige Atlanta,1000,5,63000,43 inch LED TV,"12.928949356079102,77.63288879394531",Coworking space,"SaaS Sauce, Springboard, Yume Labs, Accode Software Pvt Ltd,  AppTweak India - App Store Acquisition Platform Driven by Data,  Sphyrna,  ADMIREASIA,  Instawork India"
263,MSC8DW28,Bengaluru,Bengaluru,Byatarayanapura,560024,WeWork - RMZ Latitude,2500,4,50400,43 inch LED TV,"13.056395530700684,77.59430694580078",Coworking space," Pricewaterhouse, Cuemath Online Tution Center, Living Forests India,  Paxal Marbles & Granites, Vivusoft Technologies,  Solutionswilcom,  Hajana Technologies, BLH.Software,  Cimpress Bangalore,  Qt India Technology Private Limited,  Tilaka Technologies Pvt Ltd"
264,MSQHF4YB,Bengaluru,Bengaluru,Mahadevapura,560016,WeWork - Salarpuria Magnificia,1000,8,100800,43 inch LED TV,"12.99622917175293,77.66897583007812",Coworking space,"TCS,  WowExp | Best Augmented Reality Company of Bangalore,,  Rystad Energy India Pvt Ltd,  Air Water India Private Limited,  Toprankers Edtech Solutions Pvt Ltd, Oleic Technologies, Metaverse and Blockchain as a service | AR,VR,3D Models,, ptek multiples pvt ltd,  Talisma Corporation Private Limited,  SAY-SO TECHNOLOGIES, Osram  "
265,MSS69FAP,Bengaluru,Bengaluru,"Church St, Ashok Nagar",560001,WeWork - The Pavilion,1000,4,50400,43 inch LED TV,"12.974547386169434,77.6070556640625",Coworking space," Katerra Technologies Pvt Ltd, Prep Zone Academy™ - UCAT /SAT/LSAT/LNAT/ISAT/G,  Haya Foreign Money Exchange,  Myoki,  Ilahui,  Lacoste"
266,MS3FAP6H,Bengaluru,Bengaluru,Bellandur,560103,WeWork - ETV,3500,7,88200,43 inch LED TV,"12.933943748474121,77.6924819946289",Coworking space," Wayfair Global Technology Private Limited,  Instabase India Private Ltd,  Lookout IndiaTechnologies LLP, Cequence Security India Pvt Ltd,  Bluejersey18 Technologies Private Limited, CloudAI Pvt Ltd,  Arrcus Software Pvt Ltd, Alteryx,  ProteanTecs, SowTechno Consulting Pvt. Ltd., WebWings Global Solutions Pvt. Ltd."
267,MSAQMYJW,Bengaluru,Bengaluru,Arekere Village,560076,WeWork - Salarpuria Symbiosis,3500,5,63000,43 inch LED TV,"12.887084007263184,77.59757232666016",Coworking space," NCG - NetConnect Global - Bangalore Main,  Arafa Vegetables Mr Aboobacker, HikeOn Technologies Private Limited, Stafz IT Services Private Limited, Zoapi Innovations, FourNxt Technologies,  Nanoheal, Qnas Marketing LLP, The Third Eye Films"
268,MSWWP1EZ,Bengaluru,Bengaluru,Shivaji Nagar,560001,WeWork - Prestige Central,2500,8,100800,43 inch LED TV,"12.980831146240234,77.60310363769531",Coworking space,
269,MS65G9TT,Bengaluru,Bengaluru,Bellandur,560103,Wework - Vaishnavi Signature,6000,11,138600,43 inch LED TV,"12.925505,77.6748513",Coworking space,"Design Code Interiors & Architects, Presidio Cloud Solutions Pvt Ltd, A.P Architects & Interiors, Winkl HQ, Framsikt Technologies Pvt Ltd, 75F Smart Innovations India Pvt.Ltd,  Komprise India Private Limited, LatentView Analytics, Lookout India Technologies LLP"
270,MS8AHGQ5,Bengaluru,Bengaluru,Ashok Nagar,560025,Wework - Embassy Quest,1500,4,50400,43 inch LED TV,"12.9688239,77.6138096",Coworking space,"Laundryheap India, Khaitan & Co,  CollegePass,  Apollo Corporate Office Bangalore"
271,MSKKKV30,Bengaluru,Bengaluru,Adugodi,560029,Wework - Prestige Cube,1500,4,50400,43 inch LED TV,"12.9364947,77.6109681",Coworking space," Infurnia Technologies,  Into Education India private limited, AMS project consultants,  GoSats"
272,MSF1ZABE,Bengaluru,Bengaluru,Domlur,560071,Wework - Sunriver,2500,1,12600,43 inch LED TV,"12.951322,77.640938",Coworking space,"Precisely software and data India Pvt Ltd,  Squarepoint Technologies India Pvt Ltd, Kyron Management Services Pvt Ltd, Techstars, Leviton,  Atlassian India"
273,MSPPSD79,Bengaluru,Bengaluru,Chinnapanna Halli,560036,WeWork - Roshni TH,6000,6,75600,43 inch LED TV,"12.963951110839844,77.70223999023438",Coworking space,
274,MSRZTNKM,Bengaluru,Bengaluru,Ganganagar,560032,Wework - Embassy One,700,2,25200,43 inch LED TV,"13.019450187683105,77.58428192138672",Coworking space,"KOTRA Bangalore, Hyundai Motor India - Bengaluru Regional Office, Illumina Solution Center, Bengaluru,  Belden India Pvt Ltd, Infuse Spa at Four Seasons Hotel Bengaluru at Embassy, Consulate General of the Kingdom of the Netherlands"
275,MS244WFQ,Bengaluru,Bengaluru,Challaghatta,560071,WeWork - Cherry Hills,2500,1,12600,43 inch LED TV,"12.950215339660645,77.64173889160156",Coworking space,"Goldman Sachs, Cherry Hills, Moveworks, Citrix Systems,  Disney Star, Hotstar"
276,MSMD64VJ,Bengaluru,Bengaluru,Kadubeesanahalli,560103,WeWork - Jupiter,3000,2,25200,43 inch LED TV,"12.942366600036621,77.69470977783203",Coworking space," Prestige Park Jupiter Block, Kantar"
277,MSTWEPBN,Bengaluru,Thanisandra,Manyata Tech Park Rd,560045,WeWork - Redwood,2000,3,37800,43 inch LED TV,"13.048789024353027,77.62015533447266",Coworking space,
278,MS3K4MRP,Bengaluru,Kadabeesanahalli,Kadabeesanahalli,560103,Prestige Etamin (Redbrick Offices),425,1,12600,32 inch LED TV,"12.941646575927734,77.69093322753906",Coworking space," Guidewire Software Solutions India Pvt Ltd,  Amadeus - Elnath block, Schneider Electric,  Juniper India Toastmasters club,  EisnerAmper (India) Bengaluru, Juniper Networks, Activ Doctors Clinic "
279,MSN8D497,Bengaluru,Halasuru,Halasuru,560042,Prestige Tristar (Redbrick Offices),425,3,37800,32 inch LED TV,"12.97676944732666,77.61580657958984",Coworking space, GEMSWORTH INFRA LLP
280,MSRY7ANC,Bengaluru,Marathahalli,Marathahalli,560037,Novel Offices - MSR Novel,4000,6,75600,43 inch LED TV,"12.956939,77.699891",Coworking space,"Pragathi Solutions, CRS Info Solutions Salesforce Training Course, Bhima Jewellers, Concentric AI"
281,MSC98DP9,Bengaluru,Shivajinagar,Ashok Nagar,560001,Quest Office,200,1,12600,32 inch LED TV,"12.97642707824707,77.61445617675781",Coworking space,
282,MS0ZWCF0,Bengaluru,Bengaluru,Vasanth Nagar,560052,Golden Millenium Tech Park (Pod Screens),1100,2,25200,43 inch LED TV,"12.990937,77.593775",Corporate Office,"WIND WORLD (INDIA) LTD, DataCore Software India Pvt Ltd, Fcm Travel Solutions India Pvt Ltd, JustAnswer, AMD Architects"
283,MSP72BFR,Bengaluru,Shivajinagar,Ashok Nagar,560025,Sargod Imperial Tech Park,2000,5,63000,43 inch LED TV,"12.971713066101074,77.60567474365234",Corporate Office,"SolarWinds India Private Limited, AnandOffice"
284,MSXZ05SB,Bengaluru,Shivajinagar,Ashok Nagar,560001,Prestige Zeenath Tech Park,1800,1,12600,43 inch LED TV,"12.966020584106445,77.59552001953125",Corporate Office,"Square Yards - Bangalore, Interior Company, Bangalore, Yakit, Florsheim"
285,MS742CNP,Bengaluru,Bengaluru,"Ashok Nagar,",560001,Prestige Zeenath Tech Park (Pod Screens),1800,2,25200,43 inch LED TV,"12.966227,77.595507",Corporate Office,"Florsheim, Interior Company, Bangalore, Yakit, Square Yards - Bangalore"
286,MSP9AHP5,Bengaluru,North,Kasaba Hobli,560045,Smartworks The Cube,5000,3,37800,43 inch LED TV,"13.044198989868164,77.61346435546875",Corporate Office,"Infobell IT Solutions Pvt Ltd, STL Digital, Amantya technologies, 'The Cube' at Karle Town Center, Persistent Systems"
287,MSSHMR20,Bengaluru,Bengaluru,Kasaba Hobli,560045,The Cube (Karle)It Park (Pod Screens),5000,2,25200,43 inch LED TV,"13.044235229492188,77.61347198486328",Corporate Office,"Persistent Systems, Infobell IT Solutions Pvt Ltd, Amantya technologies, STL Digital, 'The Cube' at Karle Town Center, Kasmo"
288,MSYA3RFF,Bengaluru,Bengaluru,Vasanth Nagar,560052,Sirius Building (Pod Screens),1000,2,25200,43 inch LED TV,"12.99045,77.593882",Corporate Office,"Preetham Kn, Fly Hub Travel Pvt Ltd"
289,MS4PATZK,Bengaluru,Shivajinagar,Vasanth Nagar,560052,Sirius Building Tech Park,600,3,37800,43 inch LED TV,"12.990257263183594,77.59385681152344",Corporate Office,"Fly Hub Travel Pvt Ltd, Preetham Kn"
290,MS38Z908,Bengaluru,Shivajinagar,Vasanth Nagar,560052,Golden Millenium Tech Park,1100,3,37800,43 inch LED TV,"12.990995,77.593763",Corporate Office,"WIND WORLD (INDIA) LTD, AMD Architects, Fcm Travel Solutions India Pvt Ltd"
291,MSAHRHWB,Bengaluru,Bengaluru,Varthur,560037,DSR Techno Cube IT Park,3000,2,25200,43 inch LED TV,"12.955511,77.716235",Corporate Office,"Immidart Technologies, CloudifyOps Pvt Ltd, Celona Networks Private Limited, TTK Global Mobility Services"
292,MSDA9R3R,Bengaluru,Bellandur,Bellandur,560103,Awfis - Prestige Tech Park 2 (Mercury),700,4,50400,32 inch LED TV,"12.942049980163574,77.69395446777344",Coworking space,"  Futures First Info Services Pvt. Ltd, Deloitte India Pvt Ltd - PTP, Lycadigital Private Limited, Technacle IT Services Pvt Ltd"
293,MSTTSZWK,Bengaluru,Bengaluru,Garudachar Palya,560048,Awfis - Brigade Metropolis,650,1,12600,32 inch LED TV,"12.992473,77.703463",Coworking space,"INVOTRIX TECHNOLOGIES, Ernst and Young, Adecco India, Brigade Summit office, Kapture CX, Fubeus Technology Pvt. Ltd., Capgemini Technology Services India Limited"
294,MSSH6HH4,Bengaluru,Marathahalli,Mahadevapura,560016,WeWork-Iwf Campus,2000,3,37800,43 inch LED TV,"12.998063087463379,77.68854522705078",Coworking space,
